compoundid,3PG 185.06/97.06,3PG 186.06/97.06,Lactate 89.07/89.07,Lactate 90.07/90.07,PEP 167.13/79.13,PEP 168.13/79.13,Pyruvate 87.04/87.04,Pyruvate 88.04/88.04,Succinate 117.09/73.09,Succinate 118.09/73.09,Succinate 118.09/74.09,Taurine 124/80,Taurine 126/82,Taurine 128/80,Malate 133.09/115.09,Malate 134.09/116.09,Malate 135.09/117.09
biosample-(gxtogx)_4g__g7q2_r3 | sample number=26,0.6486816156386909,0.35131838436130913,0.6961524824595209,0.303847517540479,0.641762377745418,0.3582376222545821,0.6477074290511535,0.35229257094884653,0.9850196736071658,0.0,0.014980326392834305,1.0,1.0,,0.9412395467993733,0.05876045320062673,0.0
biosample-(gxtogx)_4g__g7q2_r4 | sample number=30,0.6740751907066642,0.3259248092933358,0.7035153753175826,0.29648462468241754,0.6054803048113425,0.3945196951886576,0.6417455555151338,0.3582544444848662,0.9773402302940086,0.0007214709311057552,0.02193829877488556,1.0,1.0,,0.9362525107369555,0.06180069616469851,0.0019467930983459877
biosample-(gxtogx)_4g__g9q2_r1 | sample number=19,0.6103971781143356,0.38960282188566453,0.7279681246869759,0.27203187531302403,0.6631838080452436,0.33681619195475637,0.6278659185091476,0.3721340814908524,0.9953195030533079,0.0,0.004680496946692187,1.0,1.0,,0.9144453887381966,0.08306340999357947,0.002491201268223949
biosample-(gxtogx)_4g__g9q2_r2 | sample number=23,0.6497034444967454,0.3502965555032546,0.6845865939318719,0.315413406068128,0.6522256329890311,0.34777436701096887,0.6187781048896815,0.38122189511031856,0.9933033345177417,0.0026096987665150096,0.004086966715743201,1.0,1.0,,0.9038288508887428,0.09426006852164916,0.001911080589607954
biosample-(gxtogx)_4g__g9q2_r3 | sample number=27,0.6289571526614904,0.37104284733850956,0.662136392151076,0.33786360784892394,0.6304840765454918,0.36951592345450823,0.6165330693066206,0.3834669306933795,0.998657216417207,0.001060364157006797,0.00028241942578640305,1.0,1.0,,0.9005187846416369,0.09775211444614959,0.0017291009122134317
biosample-(gxtogx)_4g__g9q2_r4 | sample number=31,0.6021623532993526,0.39783764670064736,0.7737068802558456,0.22629311974415442,0.595453424663106,0.404546575336894,0.6208917626736604,0.37910823732633964,0.9956685276311589,0.0014388524550771017,0.0028926199137640466,1.0,1.0,,0.9025426168891637,0.09401469904128937,0.003442684069547031
biosample-(gxtogx)_5g__g2.5q2_r1 | sample number=32,0.6621059529390969,0.33789404706090315,0.8980821073776579,0.10191789262234202,0.623828128416784,0.376171871583216,0.7870234373049549,0.21297656269504497,0.9509979759136051,0.023129138477641125,0.02587288560875374,1.0,1.0,,0.930307903512017,0.060018459354982845,0.009673637133000195
biosample-(gxtogx)_5g__g2.5q2_r2 | sample number=36,0.7214039957404113,0.27859600425958875,0.8921997775167307,0.10780022248326929,0.5856195042720603,0.41438049572793967,0.8316755914314251,0.16832440856857483,0.9406638547042133,0.023647125492326743,0.03568901980345984,1.0,1.0,,0.9363618795402833,0.061724608026869486,0.0019135124328471006
biosample-(gxtogx)_5g__g2.5q2_r3 | sample number=40,0.6948859964429098,0.3051140035570902,0.8932607700275081,0.10673922997249191,0.6502372327239392,0.34976276727606087,0.826102595004443,0.17389740499555698,0.953796459035473,0.022992074212481495,0.02321146675204556,1.0,1.0,,0.9386294736842112,0.05913171465640815,0.002238811659380672
biosample-(gxtogx)_5g__g2.5q2_r4 | sample number=44,0.741150508330772,0.258849491669228,0.8947304560628726,0.10526954393712738,0.672467372702094,0.3275326272979059,0.8174753326753113,0.18252466732468872,0.8883239098998993,0.020468071986373335,0.09120801811372745,1.0,1.0,,0.9342569101806908,0.05521748319198719,0.010525606627322064
biosample-(gxtogx)_5g__g5q2_r1 | sample number=33,0.6735963507877378,0.32640364921226217,0.747834126580626,0.252165873419374,0.5483866274023838,0.4516133725976163,0.6749837600955623,0.3250162399044378,0.881173916803417,0.04682686616879416,0.07199921702778876,1.0,1.0,,0.8319729458410625,0.15951774335331118,0.008509310805626367
biosample-(gxtogx)_5g__g5q2_r2 | sample number=37,0.6362629132362906,0.3637370867637093,0.7791479414231195,0.22085205857688042,0.5610553904153442,0.43894460958465575,0.6840209178206739,0.3159790821793261,0.8665137997495792,0.04953548998076682,0.08395071026965391,1.0,1.0,,0.8152333810507857,0.171602385323128,0.013164233626086187
biosample-(gxtogx)_5g__g5q2_r3 | sample number=41,0.6764253160936452,0.32357468390635474,0.7230922284687822,0.276907771531218,0.734525218270648,0.26547478172935207,0.6456823096763101,0.3543176903236898,0.8890254172968124,0.04838710222461093,0.06258748047857676,1.0,1.0,,0.8181205721566698,0.16792787608315038,0.013951551760179927
biosample-(gxtogx)_5g__g5q2_r4 | sample number=45,0.6789771530008466,0.32102284699915346,0.6999777236402609,0.30002227635973905,0.630734543376408,0.36926545662359206,0.6381495843065511,0.3618504156934489,0.7901130102209514,0.049616073226622384,0.1602709165524264,1.0,1.0,,0.8169493611567336,0.1722983247938145,0.010752314049451954
